text,Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,RSI_14,BB_upper,BB_lower,Stoch_%K,Stoch_%D,Close_lag1,Close_lag5,Future_Close,Weekly_Return,label
"SMCI stock data for 71. Close: -0.35, Weekly return: -0.1732",71,-0.3493672267159533,-0.34883930208494734,-0.3492014445105176,-0.34631734924098473,-0.299149224707905,-0.3541597495640209,-0.35343222719450623,-0.3572333552876042,-0.3563763882905399,-0.05965241924855897,1.6384382660106727,-0.36580363697609264,-0.3395086358678445,1.4241186767382044,1.42294520848576,-0.3498457023842551,-0.3597003750345367,3.122999906539917,-0.17315331015511662,0
"SMCI stock data for 72. Close: -0.35, Weekly return: -0.1731",72,-0.3475588597612347,-0.35195175772853665,-0.3488447224033881,-0.35102158355930924,-0.3235117391341471,-0.35249938181194745,-0.3538540574278674,-0.35623942527455366,-0.355942941118326,-0.05302788050501823,0.9603226459643079,-0.3656994271749652,-0.3395800128516621,0.8205679236377974,1.3069050204042332,-0.34582668648266507,-0.35685539268486066,3.0439999103546143,-0.17305082448072387,0
"SMCI stock data for 73. Close: -0.35, Weekly return: -0.1692",73,-0.3495627352943079,-0.3494523622113177,-0.34706109971780486,-0.3497965173058581,-0.30637981054029234,-0.35078988960319846,-0.35402843613467416,-0.3552082657196667,-0.3554489499666803,-0.046667963740789846,0.9715378177637186,-0.365784724545877,-0.3395125711859486,0.977743270322418,1.1537675391612363,-0.3505318726957442,-0.3558743667080245,3.0789999961853027,-0.16918512636087887,0
"SMCI stock data for 74. Close: -0.36, Weekly return: -0.1474",74,-0.3481942335092,-0.3510557450448498,-0.3585272125753005,-0.3608220785376256,0.11563235446080235,-0.3514186695312998,-0.35456817973212595,-0.356047017320148,-0.3558254086977941,-0.05213459934509192,0.38428496488832753,-0.3666348721966634,-0.33935541971490335,-0.4368303530335802,0.48682052866194514,-0.3493065585519751,-0.3552366986536058,2.9679999351501465,-0.14737145053564388,0
"SMCI stock data for 75. Close: -0.38, Weekly return: -0.0646",75,-0.3650560618367315,-0.36765551222514126,-0.37855470460364715,-0.37508178991033714,0.8483968592222925,-0.35638012487875653,-0.355423465393175,-0.35896997208051284,-0.3572524367776357,-0.06985308180661222,-0.5608316294293266,-0.3662228596920415,-0.34211817504391007,-1.2051068194129726,-0.23916266190792887,-0.3603343507895116,-0.3478790038273348,2.9839999675750732,-0.06457682945149527,0
"SMCI stock data for 76. Close: -0.38, Weekly return: -0.0788",76,-0.37497766190757065,-0.37798321310651667,-0.37626147717217384,-0.37836496232902334,-0.22150185252587135,-0.3628054571787338,-0.35657768643269677,-0.3619528208573832,-0.35882206384036797,-0.08662280369537886,-0.7915722994195002,-0.36535766168497186,-0.3447208905347195,-1.5095823359386995,-1.1305972744064934,-0.37459694759341966,-0.3438567926444058,2.877000093460083,-0.07877035556891385,0
"SMCI stock data for 77. Close: -0.38, Weekly return: -0.0381",77,-0.37747027392850585,-0.3793508096379156,-0.3809498456943372,-0.382236156735564,-0.19378460683505314,-0.3690637705423038,-0.3577186212530213,-0.36507761575222386,-0.3605681988212957,-0.10301232303414916,-0.8593598430149187,-0.3641718189431877,-0.3482235555095555,-1.662641244376849,-1.5699166197187742,-0.3778807843571176,-0.34856571967216965,2.927999973297119,-0.03810773340133954,0
"SMCI stock data for 78. Close: -0.38, Weekly return: -0.0309",78,-0.3812825164162977,-0.3798695484973652,-0.379726796734188,-0.3805210663173519,-0.15473292929887095,-0.3752238373349059,-0.3585938360448894,-0.3674554747414496,-0.3620552789986974,-0.113651871070296,-0.7597409981559817,-0.3634764535553168,-0.351205524007479,-1.5131341509648428,-1.680310781323398,-0.38175276209403686,-0.34733943135374845,2.9839999675750732,-0.03085418276321171,0
"SMCI stock data for 79. Close: -0.39, Weekly return: -0.0195",79,-0.3801583945277956,-0.3829820041409545,-0.384007474169678,-0.38596034272436663,-0.16095383873124028,-0.38026389134456673,-0.359708198822773,-0.37031173633535924,-0.3638435749733702,-0.12640850964373884,-1.0959203225278107,-0.36243134093703505,-0.35552709257284437,-1.7346356243262344,-1.7609678092654844,-0.3800373246298525,-0.3583759911352831,2.9100000858306885,-0.019541728634345095,0
"SMCI stock data for 80. Close: -0.39, Weekly return: 0.0003",80,-0.38587675825948337,-0.3866132098874392,-0.38757471954084444,-0.3851763017241296,-0.11711434084658537,-0.3822877735173664,-0.36063655769952313,-0.3726068825012833,-0.3654401079320601,-0.13481271497919647,-1.134179618986608,-0.36165984235656873,-0.3587789349245592,-1.4232333200056422,-1.675166211857522,-0.38547770166628537,-0.3726499272845754,2.984999895095825,0.00033509635778063943,1
